,맥주
0,Asahi Super Dry
1,Asahi Super Dry Black
2,Bavaria 8.6 (Original)
3,Bavaria Pilsener
4,Beck's
5,Berliner Kindl Jubiläums Pilsener Premium
6,Bintang Pilsener
7,Budweiser
8,Carlsberg Pilsner
9,Cass Fresh
10,Castlemaine XXXX Gold Lager
11,Desperados
12,Edelweiss Weissbier Snowfresh
13,Egger Grapefruit Radler
14,Egger Märzenbier
15,Eichbaum Apostel Bräu
16,Erdinger Weissbier
17,Erdinger Weissbier Dunkel
18,Franziskaner Hefe-Weissbier
19,Gambrinus Originál 10° (Desítka)
20,Grolsch Premium Lager
21,Guinness Draught
22,Guinness Original 4.2%
23,Harbin Beer
24,Heineken
25,Heineken Dark Lager
26,Hite D (Dry Finish)
27,Hite Extra Cold
28,Hite Prime Max
29,Hoegaarden
30,Hoegaarden Rosée
31,Holsten Premium Bier
32,Jeju Wit Ale
33,Kirin Ichiban
34,Kloud Fitz Super Clear
35,Kloud Original Gravity
36,Kozel Černý (Dark) 10°
37,Krombacher Weizen
38,Kronenbourg 1664 Blanc
39,Lapin Kulta IV A
40,Leffe Brune
41,Löwenbräu Original (4.2%)
42,Miller Genuine Draft (MGD)
43,OB Premier Pilsner
44,Paulaner Hefe-Weissbier
45,Peroni Nastro Azzurro
46,Pilsner Urquell
47,Red Rock
48,Reeper B. Exotisches IPA
49,San Miguel
50,Sapporo Premium Beer
51,Sapporo Yebisu
52,Schöfferhofer Grapefruit
53,Stella Artois
54,Stephans Bräu Hefe-Weizen Naturtrüb
55,Stephans Bräu Premium Lager
56,Stephans Bräu Premium Pilsener
57,Suntory The Premium Malt's
58,Tiger Beer
59,Tiger Radler Lemon
60,Tsingtao
61,Tsingtao Wheat Beer
62,Victoria Bitter
63,Volfas Engelman Grünberger Hefeweizen
64,Warsteiner Premium Verum
